# KERNEL SHADOWS — эталонные адреса внутренних имён
# Составлено при развёртывании: эти адреса назначала команда, поэтому
# любое расхождение с текущим ответом DNS подозрительно по определению.
#
# Формат: <домен> <ожидаемый_IP>
# Комментарии (#) и пустые строки пропускаются.
#
# Файл — вход для dns_guard.sh (s02e05). Домены без фиксированного адреса
# (CDN, облака) сюда не попадают: для них эталона не существует, и сверка
# давала бы ложные тревоги — см. theory.md серии.
# ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

# Москва, ЦОД «Москва-1»
shadow-server-01.ops.internal  10.50.1.10
shadow-server-02.ops.internal  10.50.1.100
shadow-server-03.ops.internal  10.50.1.101
shadow-db-01.ops.internal      10.50.1.102
gateway.ops.internal           10.50.0.1

# Стокгольм, Bahnhof Pionen
shadow-server-04.ops.internal  10.60.1.10
shadow-server-05.ops.internal  10.50.1.20
mail-primary.ops.internal      10.50.1.30

# Таллин, резервная площадка
shadow-server-06.ops.internal  10.70.1.10
shadow-server-07.ops.internal  10.70.1.11

# Служебные
ns1.ops.internal               10.50.0.53
ns2.ops.internal               10.60.0.53
