# KERNEL SHADOWS — известные сервисы операции
# ЦОД "Москва-1" — что и на каком порту мы разворачивали сами
#
# Формат: ПОРТ  ИМЯ_СЕРВИСА  комментарий
# Порт, который слушает и отсутствует здесь, никто из команды не поднимал.
# ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

22     sshd              управление
53     systemd-resolved  локальный кеширующий резолвер
80     nginx             http
443    nginx             https
3306   mysqld            legacy-база, планировали убрать в августе
5432   postgres          основная база
6379   redis             кеш сессий
9100   node_exporter     метрики для мониторинга
9200   elasticsearch     поднят в июле «посмотреть», так и остался
33060  mysqlx            протокол X у mysqld, поднимается вместе с 3306
