# Снимок прогона в режиме проверки, боевой контур, 31 октября 2025, 16:12.
#
# Собран командой:
#   ansible-playbook -i inventory.yml site.yml --limit production --check --diff
#
# Сокращения при снятии снимка:
#   * diff печатается один раз на задачу — для остальных хостов он совпадает,
#     кроме случаев, где явно указан хост;
#   * служебные сообщения ansible (предупреждения о версии python) убраны.
# Строки ok:/changed:/skipping:/fatal: оставлены полностью, PLAY RECAP — целиком.

$ ansible-playbook -i inventory.yml site.yml --limit production --check --diff

PLAY [production] **************************************************************

TASK [common : facts] *********************************************************
ok: [prod-web01.shadow.io]
ok: [prod-web02.shadow.io]
ok: [prod-web03.shadow.io]
ok: [prod-web04.shadow.io]
ok: [prod-web05.shadow.io]
ok: [prod-web06.shadow.io]
ok: [prod-web07.shadow.io]
ok: [prod-web08.shadow.io]
ok: [prod-web09.shadow.io]
ok: [prod-web10.shadow.io]
ok: [prod-web11.shadow.io]
ok: [prod-web12.shadow.io]
ok: [prod-web13.shadow.io]
ok: [prod-web14.shadow.io]
ok: [prod-web15.shadow.io]
ok: [prod-web16.shadow.io]
ok: [prod-web17.shadow.io]
ok: [prod-web18.shadow.io]
ok: [prod-web19.shadow.io]
ok: [prod-web20.shadow.io]
ok: [prod-web21.shadow.io]
ok: [prod-web22.shadow.io]
ok: [prod-web23.shadow.io]
ok: [prod-web24.shadow.io]
ok: [prod-web25.shadow.io]
ok: [prod-web26.shadow.io]
ok: [prod-web27.shadow.io]
ok: [prod-db01.shadow.io]
ok: [prod-db02.shadow.io]
ok: [prod-db03.shadow.io]
fatal: [prod-db04.shadow.io]: UNREACHABLE! => {"changed": false, "msg": "Failed to connect to the host via ssh: ssh: connect to host prod-db04.shadow.io port 22: Connection timed out", "unreachable": true}
ok: [prod-db05.shadow.io]
ok: [prod-cache01.shadow.io]
fatal: [prod-cache02.shadow.io]: UNREACHABLE! => {"changed": false, "msg": "Failed to connect to the host via ssh: ssh: connect to host prod-cache02.shadow.io port 22: Connection timed out", "unreachable": true}
ok: [prod-mon01.shadow.io]
ok: [prod-mon02.shadow.io]

TASK [common : packages] ******************************************************
ok: [prod-web01.shadow.io]
ok: [prod-web02.shadow.io]
ok: [prod-web03.shadow.io]
ok: [prod-web04.shadow.io]
ok: [prod-web05.shadow.io]
ok: [prod-web06.shadow.io]
ok: [prod-web07.shadow.io]
ok: [prod-web08.shadow.io]
ok: [prod-web09.shadow.io]
ok: [prod-web10.shadow.io]
ok: [prod-web11.shadow.io]
ok: [prod-web12.shadow.io]
ok: [prod-web13.shadow.io]
ok: [prod-web14.shadow.io]
ok: [prod-web15.shadow.io]
ok: [prod-web16.shadow.io]
ok: [prod-web17.shadow.io]
ok: [prod-web18.shadow.io]
ok: [prod-web19.shadow.io]
ok: [prod-web20.shadow.io]
ok: [prod-web21.shadow.io]
ok: [prod-web22.shadow.io]
ok: [prod-web23.shadow.io]
ok: [prod-web24.shadow.io]
ok: [prod-web25.shadow.io]
ok: [prod-web26.shadow.io]
ok: [prod-web27.shadow.io]
ok: [prod-db01.shadow.io]
ok: [prod-db02.shadow.io]
ok: [prod-db03.shadow.io]
ok: [prod-db05.shadow.io]
ok: [prod-cache01.shadow.io]
ok: [prod-mon01.shadow.io]
ok: [prod-mon02.shadow.io]

TASK [common : users] *********************************************************
ok: [prod-web01.shadow.io]
ok: [prod-web02.shadow.io]
ok: [prod-web03.shadow.io]
ok: [prod-web04.shadow.io]
ok: [prod-web05.shadow.io]
ok: [prod-web06.shadow.io]
ok: [prod-web07.shadow.io]
ok: [prod-web08.shadow.io]
