# Справочник параметров ArduCopter, относящихся к отказоустойчивости.
# Единицы наизусть не помнит никто — их смотрят здесь. Именно на единицах
# ошибаются чаще всего: RTL_ALT в САНТИМЕТРАХ, FENCE_ALT_MAX в МЕТРАХ.
#
# Формат: имя  единицы  мин  макс  описание
FS_THR_ENABLE    enum   0     4      реакция на потерю управления с пульта
FS_THR_VALUE     pwm    910   1100   уровень канала газа, ниже которого считается отказ
FS_GCS_ENABLE    enum   0     2      реакция на потерю связи с наземной станцией
FS_EKF_ACTION    enum   0     3      реакция на развал оценки положения
FS_EKF_THRESH    ratio  0.6   1.0    порог расхождения оценки положения
BATT_LOW_VOLT    volt   0     30     напряжение «низкий заряд»
BATT_CRT_VOLT    volt   0     30     напряжение «критический заряд»
BATT_FS_LOW_ACT  enum   0     4      действие при низком заряде
BATT_FS_CRT_ACT  enum   0     4      действие при критическом заряде
FENCE_ENABLE     enum   0     1      геозона включена
FENCE_TYPE       bitmask 0    7      что ограничивать: 1 потолок, 2 радиус, 4 многоугольник
FENCE_RADIUS     metre  30    10000  радиус геозоны от точки взлёта
FENCE_ALT_MAX    metre  10    1000   потолок геозоны
FENCE_ACTION     enum   0     4      действие при нарушении геозоны
RTL_ALT          cm     0     80000  высота, на которую подняться перед возвратом
RTL_ALT_FINAL    cm     0     100    высота зависания в конце возврата; 0 — садиться
LAND_SPEED       cms    10    200    скорость снижения при посадке
