# Ордер на активные действия против инфраструктуры «Новой Эры».
# Выдан Interpol через Изабеллу Росси, 59-й день операции, 06:00 UTC.
# Всё, что вне этого документа, — вне закона, каким бы оправданным ни
# казалось.
#
# ключ значение
case_id            NE-2026-INT-0041
valid_from_utc     2025-11-23T06:00:00Z
valid_until_utc    2025-11-23T20:00:00Z
authorized_by      Interpol / Rossi
# Сети, по которым разрешены активные действия (CIDR). Только они.
scope_cidr         203.0.113.0/24
scope_cidr         198.51.100.64/26
# Разрешённые виды действий.
allow_action       scan
allow_action       evidence-collect
# Прямо запрещённые действия, даже если цель в области.
deny_action        ddos
deny_action        destroy
deny_action        deface
# Что делать с персональными данными в собранных доказательствах.
pii_policy         redact
